Symbol,Description
LMNR,Limoneira Company
LNKB,Linkbancorp Inc
LNSR,Lensar Inc
LNT,Alliant Energy Corp
LNTH,Lantheus Holdings
LNW,Light & Wonder Inc
LNZA,Lanzatech Global Inc
LNZAW,Lanzatech Global Inc WT
LOAN,Manhattan Bridge
LOBO,Lobo Ev Technologies Ltd
LOCO,El Pollo Loco
LOGC,Contextlogic Inc Cl A
LOGI,Logitech Int S.A.
LOOP,Loop Industries Inc
LOPE,Grand Canyon Educati
LOT,Lotus Technology Inc ADR
LOTWW,Lotus Technology Inc WT
LOVE,The Lovesac Company
LPAA,Launch One Acquisition Corp. Cl A
LPAAU,Launch One Acquisition Corp
LPAAW,Launch One Acquisition Corp. WT
LPBBU,Launch Two Acquisition Corp
LPCN,Lipocine Inc
LPLA,Lpl Financial Holdings
LPRO,Open Lending Corp Cl A
LPSN,Liveperson Inc
LPTH,Lightpath Tech Inc
LPTX,Leap Therapeutics Inc
LQDA,Liquidia Corp
LQDT,Liquidity Services
LQR,Lqr House Inc
LRCX,Lam Research Corp
LRE,Lead Real Estate CO ADR
LRFC,Logan Ridge Finance Corp
LRHC,LA Rosa Holdings Corp
LRMR,Larimar Therapeutics Inc
LSAK,Lesaka Technologies Inc
LSB,Lakeshore Biopharma CO Ltd
LSBK,Lake Shore Bancorp
LSBPW,Lakeshore Biopharma CO Ltd WT
LSCC,Lattice Semicond
LSEA,Landsea Homes Corp
LSEAW,Landsee Homes Corp WT
LSH,Lakeside Holding Limited
LSTA,Lisata Therapeutics Inc
LSTR,Landstar System
LTBR,Lightbridge Corp
LTRN,Lantern Pharma Inc
LTRX,Lantronix Inc
LTRY,Lottery.com
LTRYW,Lottery.com WT
LUCD,Lucid Diagnostics Inc
LUCY,Innovative Eyewear Inc
LUCYW,Innovative Eyewear Inc WT
LULU,Lululemon Athletica
LUMO,Lumos Pharma Inc
LUNA,Luna Innovations Incorporated
LUNG,Pulmonx Corp
LUNR,Intuitive Machines Inc
LUNRW,Intuitive Machines Inc WT
LUXH,Luxurban Hotels Inc
LUXHP,Luxurban Hotels Inc 13.00%
LVLU,Lulu's Fashion Lounge Holdings Inc
LVO,Liveone Inc
LVRO,Lavoro Limited Cl A
LVROW,Lavoro Limited WT
LVTX,Lava Therapeutics N.V.
LWAY,Lifeway Foods Inc
LWLG,Lightwave Logic Inc
LX,Lexinfintech Holdings Ltd ADR
LXEH,Lixiang Education Holding ADR
LXEO,Lexeo Therapeutics Inc
LXRX,Lexicon Pharmaceutcl
LYEL,Lyell Immunopharma Inc
LYFT,Lyft Inc Cl A
LYRA,Lyra Therapeutics Inc
LYT,Lytus Technologies Holdings Ptv. Ltd
LYTS,L S I Industries
LZ,Legalzoom.com Inc
MACI,Melar Acquisition Corp. I Cl A
MACIU,Melar Acquisition Corp. I
MACIW,Melar Acquisition Corp I WT
MAMA,Mama's Creations Inc
MAMO,Massimo Group
MANH,Manhattan Assoc
MAPS,Wm Technology Inc
MAPSW,Wm Technology Inc WT
MAR,Marriot Int Cl A
MARA,Mara Holdings Inc
MARPS,Marine Petroleum U
MARX,Mars Acquisition Corp
MARXR,Mars Acquisition Corp. Rights
MARXU,Mars Acquisition Corp
MASI,Masimo Corp
MASS,908 Devices Inc
MAT,Mattel Inc
MATH,Metalpha Technology Hldg Ltd
MATW,Matthews Intl Corp
MAXN,Maxeon Solar Tech Ltd
MAYS,J W Mays Inc
MBAV,M3-Brigade Acquisition V Corp. Cl A
MBAVU,M3-Brigade Acquisition V Corp. Units
MBAVW,M3-Brigade Acquisition V Corp. WT
MBCN,Middlefield Banc
MBIN,Merchants Bancorp
MBINM,Merchants Bancorp
MBINN,Merchants Bancorp Depositary Shares
MBINO,Merchants Bancorp Depositary Shares
MBIO,Mustang Bio Inc
MBLY,Mobileye Global Inc Cl A
MBNKP,Medallion Bank Fixed-To-Floating Rate Non-Cumula
MBOT,Microbot Medical Inc
MBRX,Moleculin Biotech CS
MBUU,Malibu Boats Inc
MBWM,Mercantile Bank Corp
MBX,Mbx Biosciences Inc
MCAA,Mountain & Co. I Acquisition Corp Cl A
MCAAW,Mountain & Co. I Acquisition Corp WT
